Date,Close,High,Low,Open,Volume
1490794200,823.7200,825.2900,823.6700,825.0000,26900
1490794285,824.1200,824.1200,823.6100,823.6100,26500
1490794359,823.0800,823.3700,822.4999,823.0800,500
1490794386,822.4250,823.0000,822.3801,823.0000,1500
1490794445,823.6200,823.7200,822.9400,822.9400,5900
1490794500,822.9300,823.9600,822.9300,823.8400,4400
1490794568,823.5500,823.6227,822.6700,822.7800,6300
1490794634,824.3650,824.8000,823.7700,823.7700,5300
1490794692,825.3100,825.4699,824.5400,824.6041,9200
1490794740,825.0600,825.7100,825.0400,825.2786,6600
1490794800,826.0900,826.2100,825.0640,825.0640,8000
1490794864,827.0600,827.1400,825.9300,826.2300,18900
1490794924,826.6250,827.3596,826.1171,827.2425,6400
1490794981,826.2000,826.9500,825.9500,826.3400,8100
1490795061,826.7900,826.7900,826.0200,826.0500,3400
1490795111,826.7600,827.2600,826.3750,826.3750,5700
1490795171,826.4999,827.0031,825.9600,826.7000,6300
1490795225,826.0000,826.7900,825.9300,826.2300,4200
1490795280,826.2100,826.6300,825.9500,825.9500,3000
1490795351,825.9200,826.2000,825.9000,826.1750,3800
1490795421,825.8900,826.2900,825.8900,826.2800,4300
1490795469,826.0000,826.1900,825.4500,825.9700,4500
1490795538,826.3500,826.3500,825.9100,825.9100,3700
1490795586,826.4300,826.6800,826.1100,826.4700,5400
1490795647,826.3500,826.6201,826.2500,826.4999,3300
1490795711,826.9100,827.0000,826.7000,826.7000,4200
1490795766,827.2499,827.2800,826.8500,826.9600,6000
1490795822,827.4800,827.5400,827.2800,827.2800,4100
1490795888,827.3000,827.6600,827.2000,827.6600,2600
1490795955,827.9200,827.9600,827.3600,827.3799,4000
1490796000,827.9050,828.0000,827.8300,827.9900,6200
1490796060,828.1752,828.2100,827.8700,827.9399,8700
1490796128,828.0000,828.2800,828.0000,828.1862,3100
1490796187,828.1100,828.3000,828.1100,828.1500,3400
1490796248,828.2900,828.4400,828.0500,828.2599,3300
1490796300,828.2200,828.4000,828.1000,828.2100,1900
1490796362,828.4400,828.6400,828.3800,828.3800,3000
1490796423,828.3800,828.5400,828.1900,828.5400,5700
1490796497,828.0000,828.3500,827.8100,828.3500,5200
1490796562,827.8800,827.9900,827.8800,827.9200,900
1490796610,828.0000,828.0000,827.7000,827.7000,2000
1490796718,828.6201,828.6300,827.9900,828.0000,3500
1490796723,828.3950,828.8500,828.3950,828.4400,4800
1490796781,828.2900,828.5400,828.1100,828.5400,2400
1490796876,828.0000,828.2850,827.9200,828.2010,2600
1490796901,828.0900,828.0900,827.8400,828.0400,3500
1490796982,827.0800,828.0500,827.0800,827.9750,4700
1490797031,827.5700,827.5700,827.3500,827.3534,3200
1490797080,827.5001,827.5001,827.3200,827.3400,1300
1490797144,828.0601,828.1000,827.4200,827.6200,5500
1490797213,828.2700,828.4300,827.7348,827.7348,6000
1490797261,828.6900,828.8900,828.4300,828.4300,4800
1490797327,828.6700,829.0880,828.5201,828.9550,8700
1490797381,828.6700,828.8500,828.5200,828.5200,2600
1490797443,828.4000,828.8400,828.4000,828.7500,3200
1490797501,828.5300,828.5400,828.4700,828.5300,3300
1490797564,828.6987,828.7600,828.4999,828.4999,1900
1490797646,828.8600,828.8600,828.6600,828.7700,1000
1490797695,828.9564,829.0100,828.7150,828.8300,16700
1490797758,829.0400,829.0500,828.9700,829.0200,2200
1490797800,829.4600,829.5100,829.0800,829.1100,10900
1490797861,829.3700,829.5899,829.1900,829.5899,4100
1490797923,829.4278,829.4278,829.0400,829.2000,4700
1490797986,829.2500,829.4190,829.0500,829.2200,3600
1490798059,828.9500,829.1200,828.6800,829.1100,5500
1490798124,829.1500,829.1500,828.9900,828.9900,1200
1490798168,829.2109,829.3300,829.1850,829.3110,1500
1490798242,829.3799,829.4400,829.3300,829.4400,2200
1490798297,829.2224,829.5001,829.2000,829.2390,2700
1490798345,828.7500,829.3500,828.7400,829.3200,4700
1490798405,828.8199,829.0000,828.8199,828.9400,900
1490798460,828.9800,829.1300,828.8000,828.8000,4500
1490798523,828.9600,829.1300,828.9000,829.0600,3400
1490798582,828.8300,828.9800,828.8100,828.9000,4100
1490798645,828.7480,828.8700,828.6400,828.8150,4300
1490798702,829.0800,829.0800,828.6100,828.7500,3700
1490798819,828.4999,829.1400,828.4999,829.0600,3800
1490798821,828.7000,828.7000,828.5800,828.6935,1200
1490798885,828.5800,828.7800,828.5800,828.7400,800
1490798942,828.3051,828.6100,828.3051,828.5100,6100
1490799010,828.2759,828.3600,828.0601,828.2300,2100
1490799062,828.2300,828.3300,828.1400,828.3000,2400
1490799144,828.4000,828.4700,828.2650,828.3500,2100
1490799189,828.4050,828.4213,828.4050,828.4213,1300
1490799255,828.1900,828.3200,828.1060,828.3200,3800
1490799357,827.7403,828.1100,827.7300,828.1100,6500
1490799366,827.8400,827.9000,827.7700,827.9000,3200
1490799480,828.1700,828.1700,827.7850,827.8600,3000
1490799560,828.2100,828.2100,828.2100,828.2100,300
1490799600,828.3800,828.3800,827.9750,828.0300,2000
1490799671,828.1014,828.2300,828.0900,828.2300,1500
1490799720,827.5800,828.0200,827.5800,828.0000,2500
1490799782,827.4150,827.6100,827.1400,827.6100,2700
1490799876,827.6200,827.6200,827.4000,827.4300,2300
1490799908,827.7300,827.7300,827.6600,827.7000,600
1490799969,827.5220,827.6900,827.5220,827.6000,4600
1490800044,827.5900,827.7000,827.5500,827.6600,1700
1490800085,827.5600,827.7500,827.4700,827.5001,2100
1490800204,827.5800,827.8500,827.5800,827.7686,3200
1490800264,827.7450,827.9600,827.5800,827.5800,3500
1490800323,827.7850,827.9000,827.7500,827.9000,1000
1490800383,827.5350,827.7450,827.3799,827.7000,3200
1490800474,827.7200,827.7200,827.5800,827.5800,1400
1490800506,827.6000,827.9399,827.4500,827.8800,5100
1490800587,827.4500,827.4700,827.4200,827.4700,500
1490800632,827.7200,827.7200,827.3000,827.4200,2900
1490800691,827.6000,827.9900,827.6000,827.9300,1700
1490800754,827.4500,827.4500,827.3300,827.3900,1300
1490800804,827.6900,827.6900,827.4900,827.5001,4200
1490800919,827.5100,827.5400,827.4500,827.5400,900
1490800922,827.6000,827.6299,827.3400,827.5100,11800
1490800983,827.8700,828.1100,827.6800,827.6800,9100
1490801045,827.6600,827.9900,827.6600,827.8700,5200
1490801159,828.1150,828.2000,827.8000,827.8200,5300
1490801160,828.0050,828.2599,827.9700,828.1150,6700
1490801278,827.7900,828.2000,827.7900,828.1000,2000
1490801280,827.7800,827.8700,827.6650,827.7250,1800
1490801373,828.0300,828.1600,827.8200,827.8600,2500
1490801400,827.6650,828.1250,827.4500,828.0300,19900
1490801460,827.5500,827.6700,827.4600,827.4600,800
1490801536,827.9700,827.9700,827.6500,827.6700,1100
1490801584,828.0700,828.0700,827.7500,827.8550,1500
1490801654,827.9900,828.1000,827.9900,828.0800,900
1490801710,828.0000,828.2599,828.0000,828.2599,1500
1490801764,828.1700,828.1700,827.8600,828.0000,2300
1490801835,828.0601,828.4000,828.0601,828.3900,1300
1490801913,828.0100,828.1000,828.0100,828.1000,200
1490801941,827.8200,828.0200,827.5001,828.0000,3600
1490802004,827.8500,827.8962,827.6100,827.6100,1200
1490802061,827.5900,827.8000,827.5900,827.8000,1300
1490802126,827.6039,827.6039,827.5001,827.5500,3400
1490802206,827.6100,827.6100,827.6100,827.6100,800
1490802259,827.6500,827.6500,827.4800,827.5350,800
1490802340,827.5900,827.6100,827.5800,827.5800,500
1490802360,827.4905,827.6700,827.4905,827.6700,1500
1490802436,827.3427,827.4100,827.1200,827.4100,2500
1490802491,827.5100,827.5100,827.3500,827.3500,800
1490802599,827.4958,827.6000,827.3000,827.3400,2500
1490802600,827.2500,827.6200,827.2500,827.6200,1900
1490802719,827.1310,827.1310,827.1100,827.1100,300
1490802722,827.3170,827.3300,827.0170,827.0170,1800
1490802793,827.6200,827.6200,827.4300,827.4900,900
1490802865,827.5700,827.5700,827.5700,827.5700,600
1490802957,827.8500,827.8500,827.6200,827.6300,1300
1490802974,827.4000,827.8300,827.4000,827.8100,1900
1490803028,827.4300,827.4300,827.4300,827.4300,100
1490803091,828.2000,828.2000,827.9100,827.9100,2100
1490803167,828.2100,828.2100,827.9800,828.0400,1200
1490803203,827.9000,828.1400,827.9000,828.1400,900
1490803262,828.0900,828.0900,828.0900,828.0900,400
1490803329,828.3150,828.4000,828.1700,828.1700,800
1490803385,828.3800,828.4999,828.3600,828.4000,1300
1490803444,828.1200,828.4800,828.0200,828.4500,3600
1490803502,827.9200,828.1800,827.8501,828.0500,2500
1490803567,828.0300,828.0300,827.8100,827.9000,1200
1490803646,828.3263,828.4164,827.9043,827.9043,1600
1490803690,828.0000,828.5600,828.0000,828.4999,2400
1490803743,827.9150,828.0390,827.9150,828.0390,900
1490803809,828.1200,828.3400,828.0700,828.0800,2200
1490803865,828.1900,828.1900,828.0950,828.1100,700
1490803926,828.7400,828.7400,828.4100,828.4100,1200
1490803986,828.1000,828.7478,828.1000,828.7478,1600
1490804055,828.0933,828.1000,828.0200,828.0200,800
1490804107,828.2800,828.2800,828.2100,828.2100,1000
1490804185,828.5100,828.5100,828.5100,828.5100,200
1490804222,828.8732,828.9200,828.5500,828.5500,2700
1490804299,828.8600,828.8700,828.5700,828.7400,1700
1490804343,828.8500,829.0000,828.8500,828.9900,1700
1490804422,828.8500,828.8700,828.8500,828.8700,1200
1490804519,828.9950,829.1100,828.8300,828.9500,1700
1490804523,829.2500,829.3850,829.0700,829.1100,2000
1490804588,829.4800,829.4800,829.2000,829.2500,1100
1490804643,829.5001,829.6500,829.2100,829.2100,3000
1490804704,829.4950,829.6200,829.4000,829.5400,2600
1490804765,829.3200,829.8100,829.3000,829.4000,4700
1490804877,829.1500,829.1500,829.1500,829.1500,100
1490804886,829.2000,829.2000,829.0700,829.1500,800
1490804956,829.2700,829.5400,829.2201,829.3187,2300
1490805002,829.2900,829.2900,829.1900,829.2110,1100
1490805061,829.3200,829.3700,829.2500,829.3500,2500
1490805122,829.4100,829.4100,829.1500,829.2500,1800
1490805190,829.2340,829.3000,829.1700,829.3000,2000
1490805281,829.3300,829.3500,829.2993,829.3300,1000
1490805341,829.2600,829.2600,829.2600,829.2600,200
1490805414,829.2300,829.3100,829.2300,829.2700,1800
1490805422,829.2100,829.3799,829.2100,829.3400,2300
1490805490,829.2400,829.2400,829.1400,829.1500,1200
1490805541,828.9700,829.1000,828.9700,829.0000,1700
1490805620,828.4400,828.6400,828.4400,828.6400,1300
1490805660,828.4900,828.7700,828.4400,828.4400,600
1490805743,828.9000,828.9000,828.7524,828.7524,1400
1490805797,828.9100,828.9100,828.9100,828.9100,400
1490805868,829.0300,829.0300,829.0300,829.0300,100
1490805900,829.1100,829.1900,829.0500,829.1801,1500
1490805961,828.7700,829.1700,828.7700,829.0700,2500
1490806047,828.8700,828.8700,828.6700,828.8150,1500
1490806091,828.8000,828.8000,828.8000,828.8000,100
1490806145,828.8600,828.9700,828.7650,828.7650,1400
1490806207,828.6650,828.8269,828.6650,828.7900,3500
1490806265,829.0000,829.0000,828.9600,828.9600,700
1490806321,829.0700,829.0800,828.9437,828.9437,1100
1490806391,829.1125,829.1900,829.0820,829.1500,2200
1490806495,829.1200,829.3400,829.1000,829.1500,2800
1490806500,828.5900,829.1850,828.5900,829.1600,3600
1490806560,828.7600,828.7600,828.3900,828.6000,1600
1490806661,828.7900,829.0500,828.7900,829.0500,1200
1490806696,828.7900,828.7900,828.7900,828.7900,200
1490806741,829.1400,829.4400,829.0000,829.0000,2900
1490806859,829.3000,829.4100,829.1500,829.1950,3800
1490806860,829.0100,829.4100,829.0100,829.4100,1900
1490806979,828.9900,828.9900,828.9600,828.9850,300
1490806980,828.6300,829.3000,828.6300,829.0500,7800
1490807051,828.6501,828.6501,828.6501,828.6501,400
1490807135,828.9800,829.0000,828.8800,829.0000,1100
1490807214,829.0100,829.0100,829.0100,829.0100,200
1490807250,829.0850,829.1092,829.0850,829.1092,200
1490807281,828.6400,829.0200,828.6400,829.0200,1500
1490807379,828.6705,828.6900,828.5900,828.5900,500
1490807445,828.6201,828.6201,828.3750,828.5200,4200
1490807471,828.7900,828.7900,828.4500,828.4500,5500
1490807591,828.6100,829.0600,828.6100,828.9900,3300
1490807758,828.6800,828.6800,828.6710,828.6710,300
1490807762,828.7600,828.8800,828.5200,828.6350,3200
1490807830,829.1200,829.1200,829.0000,829.0000,400
1490807883,828.7500,828.9600,828.7100,828.8700,2300
1490807941,828.7500,828.8164,828.5700,828.7200,4300
1490808009,828.6800,828.7050,828.5800,828.7050,1400
1490808066,828.7500,828.9400,828.6700,828.7000,3600
1490808189,829.0900,829.1200,828.9200,828.9200,2300
1490808241,828.9650,829.0443,828.7500,829.0000,2000
1490808328,828.8000,828.9550,828.8000,828.9550,1200
1490808374,828.8000,828.8000,828.8000,828.8000,300
1490808424,828.5700,828.7500,828.5700,828.7500,700
1490808512,828.9200,828.9200,828.6600,828.6700,3500
1490808543,828.7700,829.0899,828.7700,828.9653,3700
1490808693,828.6500,828.8300,828.6500,828.8300,900
1490808738,828.4500,828.5300,828.4500,828.5300,400
1490808794,828.4700,828.4700,828.4050,828.4400,600
1490808845,828.7100,828.8000,828.4200,828.4600,2800
1490808936,828.5500,828.6300,828.5500,828.6201,900
1490808977,828.9500,828.9500,828.5500,828.5500,1800
1490809053,828.8500,828.8500,828.8500,828.8500,200
1490809094,828.7000,828.9200,828.6300,828.7800,4300
1490809155,828.5200,828.7896,828.5200,828.6600,2700
1490809209,828.6400,828.6400,828.3700,828.3700,2100
1490809263,828.6700,828.8500,828.6000,828.7100,900
1490809333,828.2599,828.4900,828.2599,828.4900,1000
1490809406,828.2900,828.4163,828.2800,828.4163,700
1490809447,828.6800,828.6800,828.4000,828.4800,1800
1490809528,828.6750,828.6800,828.4800,828.6800,500
1490809560,828.4600,828.6900,828.4600,828.6300,2300
1490809621,828.4500,828.5500,828.3800,828.5300,13600
1490809682,828.3300,828.4250,828.3300,828.3900,1400
1490809741,828.4900,828.5031,828.2400,828.3200,4300
1490809807,828.4900,828.5050,828.4100,828.4100,2400
1490809904,828.5700,828.5950,828.4700,828.4700,2800
1490809930,828.7000,828.7800,828.5200,828.5200,2200
1490809982,828.7800,828.7800,828.6300,828.7300,6800
1490810063,828.7500,828.7500,828.6201,828.6300,3200
1490810100,829.1000,829.1300,828.6422,828.6683,2800
1490810166,829.0340,829.1500,828.9300,829.1500,900
1490810223,829.3500,829.4500,829.0829,829.0829,1900
1490810304,829.2063,829.2063,829.2063,829.2063,1600
1490810345,829.3000,829.4999,829.3000,829.4200,1800
1490810458,829.0603,829.3000,829.0000,829.3000,3600
1490810464,829.0700,829.1100,828.9900,828.9900,2900
1490810522,829.1300,829.1400,829.0800,829.0800,900
1490810591,829.1000,829.3000,829.1000,829.1200,1000
1490810665,829.3300,829.4400,829.2500,829.2500,3200
1490810701,829.2400,829.3100,829.0600,829.3100,1000
1490810761,829.2000,829.3300,829.1400,829.2400,3200
1490810877,829.1650,829.1650,829.1650,829.1650,300
1490810913,829.2100,829.2100,829.1400,829.1704,700
1490810943,829.1900,829.2950,829.1000,829.1000,2200
1490811006,829.1000,829.1700,829.1000,829.1700,0
1490811077,829.2700,829.2700,829.2700,829.2700,400
1490811173,829.1782,829.2587,829.1782,829.2587,300
1490811188,829.2200,829.2200,829.0900,829.1100,1800
1490811264,829.2600,829.2700,829.2000,829.2200,1000
1490811327,829.2200,829.2200,829.2200,829.2200,300
1490811362,829.4500,829.4500,829.2000,829.2000,3200
1490811432,829.3725,829.4300,829.3500,829.4300,1300
1490811483,829.5100,829.5450,829.4200,829.4200,2600
1490811543,829.4912,829.5200,829.4200,829.4200,1700
1490811616,829.8100,829.8398,829.5599,829.5599,2000
1490811676,829.9600,829.9600,829.5508,829.8600,5700
1490811721,830.1500,830.1500,829.7500,829.8400,5300
1490811839,830.2400,830.2700,830.0800,830.1800,4700
1490811840,830.2400,830.2400,830.0800,830.2100,2200
1490811941,830.1250,830.2089,830.1250,830.2089,1100
1490811963,830.1900,830.2450,830.0850,830.1250,4600
1490812023,830.1990,830.1990,830.1990,830.1990,100
1490812093,830.3400,830.4300,830.1400,830.2241,6500
1490812140,830.4045,830.4045,830.3850,830.3850,500
1490812202,830.2900,830.4300,830.2900,830.3600,3500
1490812297,830.1800,830.3250,830.1800,830.3250,1000
1490812322,829.9600,830.1300,829.9600,830.1300,5400
1490812380,829.8800,830.0100,829.8800,829.9000,3300
1490812456,829.9550,829.9600,829.9300,829.9300,1100
1490812501,829.8000,829.9200,829.7000,829.9200,2900
1490812567,830.0180,830.1100,829.8050,829.8700,3800
1490812646,830.1349,830.1349,830.1349,830.1349,300
1490812688,830.1500,830.1500,830.1500,830.1500,600
1490812749,830.1550,830.1550,830.0500,830.1092,1000
1490812804,830.2050,830.2400,830.2050,830.2300,900
1490812864,830.1750,830.2798,830.1200,830.2798,1800
1490812926,830.1452,830.1950,830.1000,830.1600,2600
1490813034,830.2200,830.2200,830.2200,830.2200,200
1490813047,830.2900,830.4200,830.1500,830.1500,34300
1490813103,830.3300,830.4600,830.2300,830.2700,2200
1490813181,830.5559,830.5559,830.3400,830.4400,2000
1490813245,830.4900,830.4900,830.2900,830.4000,2700
1490813305,830.6499,830.6500,830.4900,830.5166,1300
1490813354,830.2700,830.5375,830.2700,830.5375,1400
1490813405,830.2759,830.2759,830.2200,830.2200,500
1490813465,830.1770,830.2599,830.1602,830.1800,1300
1490813554,830.2200,830.2393,830.1500,830.2393,1100
1490813592,830.1100,830.1800,830.1100,830.1800,2900
1490813649,830.3400,830.3400,830.0900,830.0900,2800
1490813708,830.4200,830.4200,830.2900,830.2900,200
1490813803,830.4999,830.4999,830.4999,830.4999,100
1490813823,830.5850,830.6000,830.4999,830.4999,1600
1490813893,830.5600,830.6340,830.5100,830.6340,1500
1490813946,830.6900,830.7690,830.4999,830.5400,4100
1490814033,830.6300,830.6800,830.5500,830.6600,1000
1490814070,830.6500,830.7150,830.6000,830.6000,9500
1490814132,830.5100,830.6000,830.5100,830.6000,2400
1490814181,830.6500,830.6500,830.4900,830.4900,3800
1490814259,830.7700,830.7700,830.5901,830.5901,2400
1490814315,830.8900,830.8900,830.6900,830.6900,1700
1490814364,830.9700,830.9720,830.8831,830.8831,6700
1490814423,830.9900,831.0100,830.9000,830.9200,6400
1490814495,831.0900,831.0900,831.0700,831.0700,800
1490814542,831.2300,831.2400,831.1000,831.1801,2800
1490814604,831.1400,831.2900,831.0800,831.1900,1800
1490814665,831.0700,831.1550,831.0200,831.1550,2300
1490814737,831.0800,831.1000,831.0000,831.0800,4600
1490814782,831.1500,831.2200,830.9500,830.9500,3200
1490814842,831.1000,831.2400,831.1000,831.2300,1400
1490814906,831.1865,831.2650,831.1300,831.1500,2400
1490814960,831.3799,831.4000,831.2500,831.3500,4000
1490815036,831.3200,831.3650,831.3100,831.3250,4300
1490815105,831.4600,831.5001,831.3600,831.3600,2800
1490815153,831.5900,831.5900,831.5500,831.5500,900
1490815202,831.7200,831.7200,831.5100,831.5819,3300
1490815260,831.8800,831.8800,831.7000,831.7500,53100
1490815324,831.9500,831.9500,831.8000,831.8000,1300
1490815382,831.9300,831.9600,831.8400,831.9100,141200
1490815441,831.7680,831.9450,831.7680,831.9450,16400
1490815501,832.0450,832.0450,831.5700,831.7475,4000
1490815614,832.0000,832.2200,831.9600,832.0900,3900
1490815620,832.1980,832.2400,831.9900,832.0205,3300
1490815693,832.0800,832.1160,832.0800,832.1160,1300
1490815802,832.2800,832.2800,832.1650,832.1650,1200
1490815860,832.4180,832.5800,832.3300,832.3300,6100
1490815978,832.6500,832.7300,832.4200,832.4200,3100
1490815981,832.6400,832.7650,832.6100,832.6350,6300
1490816048,832.4300,832.6100,832.4300,832.6000,3600
1490816110,832.2300,832.3508,832.0700,832.3508,3700
1490816176,832.3900,832.3900,832.2623,832.3500,1900
1490816243,832.3400,832.4100,832.3400,832.4100,1300
1490816298,832.4800,832.4850,832.3700,832.4850,2300
1490816356,832.4600,832.4700,832.3000,832.3200,1700
1490816407,832.5400,832.5400,832.3673,832.3800,2600
1490816470,832.3500,832.4450,832.2800,832.4450,3600
1490816578,832.2599,832.4200,832.1700,832.3000,5700
1490816581,832.4100,832.4100,832.0601,832.2300,3100
1490816659,832.2400,832.3300,832.1800,832.2500,4900
1490816705,832.1500,832.2750,832.0700,832.2750,3000
1490816770,832.5001,832.5001,832.2300,832.2300,2800
1490816820,832.3100,832.4950,832.2101,832.4950,3200
1490816882,832.3000,832.3600,832.1200,832.3400,3100
1490816999,832.4100,832.4999,832.1500,832.1900,7500
1490817059,832.5900,832.6050,832.0601,832.3700,12900
1490817060,832.6300,832.7100,832.5050,832.5050,15600
1490817120,832.3900,832.6201,832.3800,832.5750,7200
1490817183,832.0601,832.3799,832.0300,832.3799,6400
1490817240,831.9000,832.1499,831.7900,832.0400,12900
1490817300,831.4301,831.8655,831.4300,831.8100,10200
1490817419,831.5800,831.8000,831.4300,831.5200,8600
1490817423,831.3599,831.5700,831.2600,831.5700,7900
1490817481,831.9000,831.9000,831.2100,831.2600,16500
1490817540,831.4200,831.9000,831.0800,831.6800,41300
1490817600,831.4100,831.4100,831.4100,831.4100,53700
